package,owner,shallow,deep
ACME,HSU-ANT,"[""IterTools"", ""DataStructures"", ""Compat"", ""OrderedCollections"", ""StaticArrays"", ""ProgressMeter""]",String[]
ADCME,kailaix,"[""Suppressor"", ""Optim"", ""Conda"", ""NLopt"", ""PyCall"", ""MAT"", ""PyPlot"", ""SpecialFunctions"", ""FFTW""]","[""Calculus"", ""MathProgBase"", ""Requires"", ""AbstractFFTs"", ""OpenSpecFun_jll"", ""FixedPointNumbers"", ""Missings"", ""BufferedStreams"", ""MKL_jll"", ""FFTW_jll"", ""WinRPM"", ""CommonSubexpressions"", ""HDF5_jll"", ""StatsBase"", ""StaticArrays"", ""PositiveFactorizations"", ""Parsers"", ""Parameters"", ""DiffEqDiffTools"", ""NaNMath"", ""Zlib_jll"", ""Tokenize"", ""LaTeXStrings"", ""CMake"", ""LibCURL"", ""VersionParsing"", ""DiffRules"", ""Colors"", ""MacroTools"", ""FillArrays"", ""Libz"", ""ForwardDiff"", ""HTTP"", ""OrderedCollections"", ""DataStructures"", ""Compat"", ""HTTPClient"", ""CompilerSupportLibraries_jll"", ""Expat_jll"", ""TranscodingStreams"", ""Blosc"", ""LibExpat"", ""CodecZlib"", ""HDF5"", ""ColorTypes"", ""ArrayInterface"", ""MbedTLS"", ""MbedTLS_jll"", ""FiniteDiff"", ""SortingAlgorithms"", ""IntelOpenMP_jll"", ""WeakRefStrings"", ""JSON"", ""NLSolversBase"", ""DataAPI"", ""BinDeps"", ""CSTParser"", ""Reexport"", ""CMakeWrapper"", ""URIParser"", ""BinaryProvider"", ""LineSearches"", ""DiffResults"", ""IniFile"", ""Homebrew""]"
ADCMEKit,kailaix,"[""Unitful"", ""ADCME"", ""PyPlot"", ""PyCall""]","[""ConstructionBase"", ""Calculus"", ""MathProgBase"", ""SpecialFunctions"", ""Requires"", ""AbstractFFTs"", ""OpenSpecFun_jll"", ""FixedPointNumbers"", ""Missings"", ""BufferedStreams"", ""MKL_jll"", ""FFTW_jll"", ""WinRPM"", ""CommonSubexpressions"", ""HDF5_jll"", ""StatsBase"", ""StaticArrays"", ""PositiveFactorizations"", ""Parsers"", ""Parameters"", ""DiffEqDiffTools"", ""NaNMath"", ""Zlib_jll"", ""Tokenize"", ""NLopt"", ""LaTeXStrings"", ""CMake"", ""LibCURL"", ""VersionParsing"", ""DiffRules"", ""Colors"", ""MacroTools"", ""FillArrays"", ""FFTW"", ""Libz"", ""ForwardDiff"", ""HTTP"", ""OrderedCollections"", ""DataStructures"", ""Compat"", ""HTTPClient"", ""CompilerSupportLibraries_jll"", ""Expat_jll"", ""TranscodingStreams"", ""Blosc"", ""LibExpat"", ""CodecZlib"", ""MAT"", ""HDF5"", ""ColorTypes"", ""ArrayInterface"", ""MbedTLS"", ""MbedTLS_jll"", ""Suppressor"", ""Optim"", ""FiniteDiff"", ""SortingAlgorithms"", ""IntelOpenMP_jll"", ""Conda"", ""WeakRefStrings"", ""JSON"", ""NLSolversBase"", ""DataAPI"", ""BinDeps"", ""CSTParser"", ""Reexport"", ""CMakeWrapper"", ""URIParser"", ""BinaryProvider"", ""LineSearches"", ""DiffResults"", ""IniFile"", ""Homebrew""]"
ADSeismic,kailaix,"[""Optim"", ""Conda"", ""PyCall"", ""MAT"", ""PyPlot"", ""ProgressMeter"", ""ADCME"", ""Parameters""]","[""Calculus"", ""MathProgBase"", ""SpecialFunctions"", ""Requires"", ""AbstractFFTs"", ""OpenSpecFun_jll"", ""FixedPointNumbers"", ""Missings"", ""BufferedStreams"", ""MKL_jll"", ""FFTW_jll"", ""WinRPM"", ""CommonSubexpressions"", ""HDF5_jll"", ""StatsBase"", ""StaticArrays"", ""PositiveFactorizations"", ""Parsers"", ""DiffEqDiffTools"", ""NaNMath"", ""Zlib_jll"", ""Tokenize"", ""NLopt"", ""LaTeXStrings"", ""CMake"", ""LibCURL"", ""VersionParsing"", ""DiffRules"", ""Colors"", ""MacroTools"", ""FillArrays"", ""FFTW"", ""Libz"", ""ForwardDiff"", ""HTTP"", ""OrderedCollections"", ""DataStructures"", ""Compat"", ""HTTPClient"", ""CompilerSupportLibraries_jll"", ""Expat_jll"", ""TranscodingStreams"", ""Blosc"", ""LibExpat"", ""CodecZlib"", ""HDF5"", ""ColorTypes"", ""ArrayInterface"", ""MbedTLS"", ""MbedTLS_jll"", ""Suppressor"", ""FiniteDiff"", ""SortingAlgorithms"", ""IntelOpenMP_jll"", ""WeakRefStrings"", ""JSON"", ""NLSolversBase"", ""DataAPI"", ""BinDeps"", ""CSTParser"", ""Reexport"", ""CMakeWrapper"", ""URIParser"", ""BinaryProvider"", ""LineSearches"", ""DiffResults"", ""IniFile"", ""Homebrew""]"
AIBECS,briochemc,"[""Flatten"", ""ForwardDiff"", ""BSON"", ""Distributions"", ""UnitfulAstro"", ""Interpolations"", ""UnitfulRecipes"", ""DualNumbers"", ""DualMatrixTools"", ""MetadataArrays"", ""HyperDualNumbers"", ""Distances"", ""FileIO"", ""HyperDualMatrixTools"", ""Unitful"", ""JLD2"", ""FieldMetadata"", ""RecipesBase"", ""OceanGrids"", ""UnPack"", ""Parameters"", ""DataFrames"", ""DataDeps"", ""DiffEqBase"", ""Reexport""]","[""AxisAlgorithms"", ""TableTraits"", ""MuladdMacro"", ""ConstructionBase"", ""InvertedIndices"", ""IteratorInterfaceExtensions"", ""Calculus"", ""UnitfulAngles"", ""SpecialFunctions"", ""Requires"", ""PooledArrays"", ""OpenSpecFun_jll"", ""Missings"", ""Polynomials"", ""ProgressMeter"", ""PDMats"", ""ProgressLogging"", ""CommonSubexpressions"", ""StatsBase"", ""DocStringExtensions"", ""StaticArrays"", ""Parsers"", ""DiffEqDiffTools"", ""NaNMath"", ""Zlib_jll"", ""Rmath"", ""Tokenize"", ""DiffRules"", ""MacroTools"", ""NamedTuples"", ""ChainRulesCore"", ""RecursiveArrayTools"", ""FillArrays"", ""RecursiveFactorization"", ""Arpack"", ""OffsetArrays"", ""HTTP"", ""OrderedCollections"", ""TreeViews"", ""DataStructures"", ""Compat"", ""CategoricalArrays"", ""StatsFuns"", ""CompilerSupportLibraries_jll"", ""TranscodingStreams"", ""FunctionWrappers"", ""LoggingExtras"", ""CodecZlib"", ""IterativeSolvers"", ""TerminalLoggers"", ""ArrayInterface"", ""MbedTLS"", ""MbedTLS_jll"", ""ConsoleProgressMonitor"", ""SortingAlgorithms"", ""SimpleTraits"", ""WeakRefStrings"", ""WoodburyMatrices"", ""JSON"", ""LeftChildRightSiblingTrees"", ""Rmath_jll"", ""QuadGK"", ""DataAPI"", ""BinDeps"", ""CSTParser"", ""URIParser"", ""DataStreams"", ""LinearMaps"", ""OpenBLAS_jll"", ""BinaryProvider"", ""DiffResults"", ""Roots"", ""IniFile"", ""Cassette"", ""DataValueInterfaces"", ""ZygoteRules"", ""Tables"", ""Arpack_jll"", ""AbstractTrees"", ""Ratios""]"
AIControl,suinleelab,"[""CSV"", ""FileIO"", ""JLD2"", ""Distributions"", ""DataFrames"", ""GZip""]","[""Arpack"", ""TableTraits"", ""OrderedCollections"", ""InvertedIndices"", ""IteratorInterfaceExtensions"", ""LazyArrays"", ""DataStructures"", ""Compat"", ""CategoricalArrays"", ""StatsFuns"", ""RecipesBase"", ""CompilerSupportLibraries_jll"", ""SpecialFunctions"", ""Requires"", ""TranscodingStreams"", ""PooledArrays"", ""ArrayLayouts"", ""OpenSpecFun_jll"", ""InternedStrings"", ""Missings"", ""CodecZlib"", ""Polynomials"", ""PDMats"", ""SortingAlgorithms"", ""WeakRefStrings"", ""JSON"", ""StatsBase"", ""Rmath_jll"", ""QuadGK"", ""StaticArrays"", ""DataAPI"", ""BinDeps"", ""CSTParser"", ""Parsers"", ""Reexport"", ""URIParser"", ""DataStreams"", ""OpenBLAS_jll"", ""Zlib_jll"", ""Rmath"", ""Tokenize"", ""BinaryProvider"", ""DataValueInterfaces"", ""Tables"", ""MacroTools"", ""Arpack_jll"", ""FilePathsBase"", ""NamedTuples"", ""FillArrays""]"
AMD,JuliaSmoothOptimizers,String[],String[]
AMDGPUnative,JuliaGPU,"[""DataStructures"", ""LLVM"", ""HSARuntime"", ""Requires"", ""BinaryProvider"", ""TimerOutputs"", ""Adapt""]","[""Compat"", ""CEnum"", ""Crayons"", ""Tokenize"", ""MacroTools"", ""ConstructionBase"", ""OrderedCollections"", ""CSTParser"", ""Setfield""]"
AMQPClient,JuliaComputing,"[""Compat""]",String[]
AMRVW,jverzani,String[],String[]
ANOVA,marcpabst,"[""StatsModels"", ""StatsBase"", ""Distributions"", ""DataFrames"", ""CategoricalArrays"", ""ArgCheck"", ""GLM""]","[""TableTraits"", ""InvertedIndices"", ""IteratorInterfaceExtensions"", ""RecipesBase"", ""SpecialFunctions"", ""Requires"", ""PooledArrays"", ""OpenSpecFun_jll"", ""Missings"", ""Polynomials"", ""PDMats"", ""StaticArrays"", ""Parsers"", ""Zlib_jll"", ""Rmath"", ""Tokenize"", ""MacroTools"", ""NamedTuples"", ""RecursiveArrayTools"", ""FillArrays"", ""Arpack"", ""OffsetArrays"", ""OrderedCollections"", ""DataStructures"", ""Compat"", ""StatsFuns"", ""CompilerSupportLibraries_jll"", ""TranscodingStreams"", ""CodecZlib"", ""ArrayInterface"", ""SortingAlgorithms"", ""WeakRefStrings"", ""JSON"", ""Rmath_jll"", ""QuadGK"", ""DataAPI"", ""BinDeps"", ""CSTParser"", ""Reexport"", ""URIParser"", ""ShiftedArrays"", ""DataStreams"", ""OpenBLAS_jll"", ""BinaryProvider"", ""DataValueInterfaces"", ""ZygoteRules"", ""Tables"", ""Arpack_jll""]"
ARCHModels,s-broda,"[""StatsModels"", ""ForwardDiff"", ""Distributions"", ""HypothesisTests"", ""Optim"", ""FiniteDiff"", ""Roots"", ""StatsBase"", ""DataStructures"", ""StatsFuns"", ""SpecialFunctions"", ""DataFrames"", ""Requires"", ""Reexport"", ""GLM""]","[""TableTraits"", ""InvertedIndices"", ""IteratorInterfaceExtensions"", ""Calculus"", ""RecipesBase"", ""OpenSpecFun_jll"", ""PooledArrays"", ""Missings"", ""Combinatorics"", ""Polynomials"", ""PDMats"", ""CommonSubexpressions"", ""StaticArrays"", ""PositiveFactorizations"", ""Parsers"", ""Parameters"", ""DiffEqDiffTools"", ""NaNMath"", ""Zlib_jll"", ""Rmath"", ""Tokenize"", ""DiffRules"", ""MacroTools"", ""NamedTuples"", ""RecursiveArrayTools"", ""FillArrays"", ""Arpack"", ""OffsetArrays"", ""OrderedCollections"", ""Compat"", ""CategoricalArrays"", ""CompilerSupportLibraries_jll"", ""TranscodingStreams"", ""CodecZlib"", ""ArrayInterface"", ""SortingAlgorithms"", ""WeakRefStrings"", ""JSON"", ""Rmath_jll"", ""NLSolversBase"", ""QuadGK"", ""DataAPI"", ""BinDeps"", ""CSTParser"", ""URIParser"", ""ShiftedArrays"", ""DataStreams"", ""OpenBLAS_jll"", ""BinaryProvider"", ""DiffResults"", ""LineSearches"", ""DataValueInterfaces"", ""ZygoteRules"", ""Tables"", ""Arpack_jll""]"
ARules,bcbi,"[""StatsBase"", ""DataFrames""]","[""SortingAlgorithms"", ""TableTraits"", ""WeakRefStrings"", ""InvertedIndices"", ""OrderedCollections"", ""IteratorInterfaceExtensions"", ""JSON"", ""DataStructures"", ""Compat"", ""CategoricalArrays"", ""DataAPI"", ""Parsers"", ""Requires"", ""Reexport"", ""TranscodingStreams"", ""DataStreams"", ""Zlib_jll"", ""BinaryProvider"", ""PooledArrays"", ""Missings"", ""DataValueInterfaces"", ""CodecZlib"", ""Tables"", ""NamedTuples""]"
ASDF,eschnett,"[""Conda"", ""PyCall"", ""URIParser""]","[""Tokenize"", ""OrderedCollections"", ""WeakRefStrings"", ""Missings"", ""JSON"", ""DataStructures"", ""VersionParsing"", ""Compat"", ""MacroTools"", ""DataAPI"", ""CSTParser"", ""Parsers""]"
ASE,libAtoms,"[""JuLIP"", ""NeighbourLists"", ""Parameters"", ""PyCall"", ""Reexport""]","[""ForwardDiff"", ""OrderedCollections"", ""DataStructures"", ""Compat"", ""Calculus"", ""RecipesBase"", ""CompilerSupportLibraries_jll"", ""SpecialFunctions"", ""Requires"", ""AlgebraicMultigrid"", ""FunctionWrappers"", ""OpenSpecFun_jll"", ""Missings"", ""IterativeSolvers"", ""ArrayInterface"", ""Optim"", ""FiniteDiff"", ""SortingAlgorithms"", ""Conda"", ""WeakRefStrings"", ""CommonSubexpressions"", ""JSON"", ""StatsBase"", ""Dierckx"", ""NLSolversBase"", ""StaticArrays"", ""DataAPI"", ""BinDeps"", ""PositiveFactorizations"", ""CSTParser"", ""Parsers"", ""DiffEqDiffTools"", ""NaNMath"", ""URIParser"", ""Tokenize"", ""BinaryProvider"", ""LineSearches"", ""DiffResults"", ""VersionParsing"", ""DiffRules"", ""MacroTools"", ""FillArrays""]"
ASL_jll,JuliaBinaryWrappers,String[],String[]
ATK_jll,JuliaBinaryWrappers,"[""Glib_jll""]","[""Gettext_jll"", ""PCRE_jll"", ""Zlib_jll"", ""XML2_jll"", ""Libiconv_jll"", ""Libffi_jll""]"
AWSCore,JuliaCloud,"[""Mocking"", ""LazyJSON"", ""HTTP"", ""IniFile"", ""SymDict"", ""JSON"", ""DataStructures"", ""Retry"", ""MbedTLS"", ""XMLDict""]","[""Zlib_jll"", ""BinaryProvider"", ""IterTools"", ""OrderedCollections"", ""WeakRefStrings"", ""Missings"", ""Compat"", ""EzXML"", ""XML2_jll"", ""MbedTLS_jll"", ""DataAPI"", ""Parsers"", ""ExprTools"", ""Libiconv_jll""]"
AWSS3,JuliaCloud,"[""HTTP"", ""SymDict"", ""DataStructures"", ""AWSCore"", ""EzXML"", ""Retry"", ""MbedTLS"", ""FilePathsBase"", ""XMLDict""]","[""Mocking"", ""LazyJSON"", ""OrderedCollections"", ""WeakRefStrings"", ""JSON"", ""Compat"", ""XML2_jll"", ""DataAPI"", ""Parsers"", ""ExprTools"", ""Zlib_jll"", ""BinaryProvider"", ""IterTools"", ""Missings"", ""IniFile"", ""MbedTLS_jll"", ""Libiconv_jll""]"
AWSSDK,JuliaCloud,"[""AWSCore""]","[""Mocking"", ""LazyJSON"", ""HTTP"", ""OrderedCollections"", ""WeakRefStrings"", ""JSON"", ""DataStructures"", ""Compat"", ""EzXML"", ""XML2_jll"", ""DataAPI"", ""Parsers"", ""ExprTools"", ""XMLDict"", ""Zlib_jll"", ""BinaryProvider"", ""IterTools"", ""Missings"", ""IniFile"", ""SymDict"", ""Retry"", ""MbedTLS"", ""MbedTLS_jll"", ""Libiconv_jll""]"
